source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
SGML_12.09_13call2026-04-17.txt,2025-12-10,01:03:39,SGML,ASK,13,call,2026-04-17,129d,$11.62,$2.10 - $2.90,$2.80,"2,718",$761K,"2,722",40,68.05,100%,"157,742",120.70,0.5804,-0.0126,0.0469,0.027,0.0139,2.80,Basic Materials,Metals & Mining,111,Low Historic Volume Floor,13 call 2026-04-17
SGML_12.09_13call2026-04-17.txt,2025-12-10,00:08:08,SGML,ASK,12,call,2026-01-16,38d,$11.25,$1.15 - $1.50,$1.50,"2,000",$300K,"2,034","1,577",1.29,100%,"103,201",124.68,0.516,-0.0238,0.0881,0.0145,0.0045,1.50,Basic Materials,Metals & Mining,111,,12 call 2026-01-16
SGML_12.09_13call2026-04-17.txt,2025-12-10,00:08:08,SGML,ASK,16,call,2026-01-16,38d,$11.25,$0.40 - $0.75,$0.60,"2,000",$120K,"2,000",39,51.28,100%,"51,874",128.19,0.2594,-0.0198,0.0696,0.0118,0.0024,0.60,Basic Materials,Metals & Mining,111,,16 call 2026-01-16
SGML_12.09_13call2026-04-17.txt,2025-12-05,22:50:45,SGML,BID,17,call,2027-01-15,402d,$9.93,$3.20 - $3.90,$3.20,150,$48K,150,10,15.00,100%,"8,593",116.98,0.5728,-0.0059,0.032,0.0411,0.0277,3.20,Basic Materials,Metals & Mining,111,,17 call 2027-01-15
SGML_12.09_13call2026-04-17.txt,2025-12-02,22:46:50,SGML,ASK,10,put,2025-12-19,10d,$10.66,$0.70 - $0.75,$0.75,799,$60K,"1,012",447,2.26,100%,"-28,170",118.12,-0.3526,-0.0297,0.1367,0.0085,-0.0021,0.75,Basic Materials,Metals & Mining,111,,10 put 2025-12-19
SGML_12.09_13call2026-04-17.txt,2025-12-01,22:54:27,SGML,BID,11,put,2025-12-19,10d,$11.32,$0.90 - $1.15,$1.00,300,$30K,300,128,2.34,100%,"-12,149",116.98,-0.405,-0.0316,0.1318,0.0097,-0.0028,1.00,Basic Materials,Metals & Mining,111,,11 put 2025-12-19
