ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,limit,name,industry
000692.SZ,20251204,4.55,4.55,4.55,4.55,4.14,0.41,9.9034,127548.92,58034.759,2,惠天热电,供气供热
001211.SZ,20251204,30.21,32.21,30.21,32.21,29.28,2.93,10.0068,125416.89,399329.313,2,双枪科技,家居用品
002589.SZ,20251204,3.78,3.87,3.6,3.87,3.52,0.35,9.9432,3356841.2,1281531.264,2,瑞康医药,医药商业
002682.SZ,20251204,6.9,7.16,6.85,7.16,6.51,0.65,9.9846,455637.55,321706.064,2,龙洲股份,仓储物流
600151.SH,20251204,11.28,12.41,11.28,12.41,11.28,1.13,10.0177,891112.29,1076807.804,2,航天机电,汽车配件
601399.SH,20251204,4.08,4.21,4.08,4.21,3.83,0.38,9.9217,2908220.24,1216152.194,2,国机重装,工程机械
603386.SH,20251204,15.14,15.14,15.14,15.14,13.76,1.38,10.0291,91082.6,137899.056,2,骏亚科技,元器件
