source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
POOL_01.12_290call2026-02-20.txt,2026-01-13,03:53:32,POOL,BID,260,put,2026-07-17,185d,$257.88,$24.70 - $25.90,$24.70,16,$40K,16,4,4.00,100%,-745,32.39,-0.4656,-0.0626,0.0067,0.7317,-0.7377,24.70,Consumer Cyclical,Travel & Leisure,37,,260 put 2026-07-17
POOL_01.12_290call2026-02-20.txt,2026-01-12,23:49:34,POOL,ASK,290,call,2026-02-20,38d,$258.23,$1.95 - $4.80,$3.70,568,$210K,578,34,17.00,100%,"11,728",40.07,0.2065,-0.124,0.0084,0.2409,0.053,3.70,Consumer Cyclical,Travel & Leisure,37,Low Historic Volume Floor,290 call 2026-02-20
POOL_01.12_290call2026-02-20.txt,2026-01-10,04:26:36,POOL,BID,210,call,2026-07-17,185d,$252.59,$50.60 - $52.70,$51.62,20,$103K,20,1,20.00,100%,"1,595",37.00,0.7973,-0.0514,0.0042,0.5129,0.7756,51.62,Consumer Cyclical,Travel & Leisure,37,,210 call 2026-07-17
POOL_01.12_290call2026-02-20.txt,2026-01-10,04:26:36,POOL,ASK,200,call,2026-07-17,185d,$252.59,$58.10 - $60.60,$59.37,20,$119K,20,5,4.00,100%,"1,683",37.73,0.8416,-0.045,0.0035,0.4394,0.7933,59.37,Consumer Cyclical,Travel & Leisure,37,,200 call 2026-07-17
