ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,limit,name,industry
002585.SZ,20251205,6.6,6.93,6.6,6.93,6.3,0.63,10.0,1133803.73,779932.784,2,双星新材,塑料
002830.SZ,20251205,21.01,22.66,21.01,22.66,20.6,2.06,10.0,123953.9,275085.636,2,名雕股份,装修装饰
603709.SH,20251205,17.08,18.23,16.52,18.23,16.57,1.66,10.0181,125133.08,218790.453,2,中源家居,家居用品
605299.SH,20251205,11.75,12.95,11.56,12.95,11.77,1.18,10.0255,450765.56,567899.116,2,舒华体育,文教休闲
