ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,limit,name,industry
002300.SZ,20251203,8.39,8.56,8.31,8.56,7.78,0.78,10.0257,394647.74,335284.668,2,太阳电缆,电气设备
002348.SZ,20251203,5.82,5.82,5.82,5.82,5.29,0.53,10.0189,49335.8,28713.436,2,高乐股份,文教休闲
002686.SZ,20251203,7.98,8.11,7.47,8.11,7.37,0.74,10.0407,1303853.11,1032818.847,2,亿利达,专用机械
600408.SH,20251203,5.08,5.59,5.01,5.59,5.08,0.51,10.0394,2676233.8,1435662.993,2,安泰集团,焦炭加工
603696.SH,20251203,16.09,16.09,14.63,16.09,14.63,1.46,9.9795,611345.7,944955.947,2,安记食品,食品
605108.SH,20251203,22.42,24.07,20.72,24.07,21.88,2.19,10.0091,357827.95,800101.371,2,同庆楼,酒店餐饮
